"Step","office26_vs_003 - train/loss_viewpoint - lpips","office26_vs_003 - train/loss_viewpoint - lpips__MIN","office26_vs_003 - train/loss_viewpoint - lpips__MAX","office26_vs_03 - train/loss_viewpoint - lpips","office26_vs_03 - train/loss_viewpoint - lpips__MIN","office26_vs_03 - train/loss_viewpoint - lpips__MAX","office26_vs_01 - train/loss_viewpoint - lpips","office26_vs_01 - train/loss_viewpoint - lpips__MIN","office26_vs_01 - train/loss_viewpoint - lpips__MAX","office26_vs_005 - train/loss_viewpoint - lpips","office26_vs_005 - train/loss_viewpoint - lpips__MIN","office26_vs_005 - train/loss_viewpoint - lpips__MAX"
"100","0.5851031482219696","0.5851031482219696","0.5851031482219696","0.5633305191993714","0.5633305191993714","0.5633305191993714","0.5669942736625672","0.5669942736625672","0.5669942736625672","0.5888609528541565","0.5888609528541565","0.5888609528541565"
"500","0.5325041294097901","0.5325041294097901","0.5325041294097901","0.5497185111045838","0.5497185111045838","0.5497185111045838","0.5540166974067688","0.5540166974067688","0.5540166974067688","0.553178584575653","0.553178584575653","0.553178584575653"
"1000","0.501159256696701","0.501159256696701","0.501159256696701","0.5602587699890137","0.5602587699890137","0.5602587699890137","0.5461314678192138","0.5461314678192138","0.5461314678192138","0.5206809878349304","0.5206809878349304","0.5206809878349304"
"2000","0.4552749216556549","0.4552749216556549","0.4552749216556549","0.5097848176956177","0.5097848176956177","0.5097848176956177","0.4732291162014008","0.4732291162014008","0.4732291162014008","0.4675638556480408","0.4675638556480408","0.4675638556480408"
"3000","0.4288995444774628","0.4288995444774628","0.4288995444774628","0.45690453648567203","0.45690453648567203","0.45690453648567203","0.42843934893608093","0.42843934893608093","0.42843934893608093","0.4405522525310517","0.4405522525310517","0.4405522525310517"
"4000","0.3959758818149567","0.3959758818149567","0.3959758818149567","0.41920415163040164","0.41920415163040164","0.41920415163040164","0.3966292023658753","0.3966292023658753","0.3966292023658753","0.4005375921726227","0.4005375921726227","0.4005375921726227"
"5000","0.3462505638599396","0.3462505638599396","0.3462505638599396","0.35852917432785036","0.35852917432785036","0.35852917432785036","0.3460535705089569","0.3460535705089569","0.3460535705089569","0.3539710104465485","0.3539710104465485","0.3539710104465485"
"6000","0.3436921775341034","0.3436921775341034","0.3436921775341034","0.34076654314994814","0.34076654314994814","0.34076654314994814","0.33802080154418945","0.33802080154418945","0.33802080154418945","0.34270840883255005","0.34270840883255005","0.34270840883255005"
"7000","0.30873702466487885","0.30873702466487885","0.30873702466487885","0.31861906945705415","0.31861906945705415","0.31861906945705415","0.3074536263942719","0.3074536263942719","0.3074536263942719","0.3143263250589371","0.3143263250589371","0.3143263250589371"
"10000","0.25296705663204194","0.25296705663204194","0.25296705663204194","0.24840056002140046","0.24840056002140046","0.24840056002140046","0.245938178896904","0.245938178896904","0.245938178896904","0.25662907361984255","0.25662907361984255","0.25662907361984255"
"15000","0.20066054165363312","0.20066054165363312","0.20066054165363312","0.18267101794481277","0.18267101794481277","0.18267101794481277","0.19387200176715852","0.19387200176715852","0.19387200176715852","0.20213434100151062","0.20213434100151062","0.20213434100151062"
"30000","0.12989602982997894","0.12989602982997894","0.12989602982997894","0.12269297540187836","0.12269297540187836","0.12269297540187836","0.12681268453598024","0.12681268453598024","0.12681268453598024","0.13143325448036194","0.13143325448036194","0.13143325448036194"